sample_id,severity,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,number
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$SpillCallback,innerclass,7,7,0,7,13,1,0,14,2,0.53333336,0.4,0.6,5,0,2,0,0,3,5,0,0,0,3,0,0,3,0,0,1,0,0,78,1,3,2,3,0,5,5,10,2,4,3,0,0,0,57,2,2,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$SpillResult,innerclass,2,2,0,2,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,10,0,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$WrappedBuffer,innerclass,4,4,0,4,5,1,0,4,0,0.4358974,0.6666667,1.0,3,0,0,0,0,3,3,0,0,0,13,1,0,13,0,0,6,0,0,47,0,2,0,0,1,0,13,29,2,15,1,0,0,0,37,10,0,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter,class,54,57,3,54,144,4,0,135,229,0.8988238000000002,0.33333334,0.47619048,34,1,5,27,0,2,7,0,0,0,50,11,0,34,1,15,35,0,3,996,31,10,44,10,31,62,88,189,78,139,6,1,7,0,273,1,16,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$ByteArrayOutputStream,innerclass,3,3,0,3,4,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,19,0,0,0,0,0,0,4,5,0,1,1,0,0,0,12,2,0,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$SpillPathDetails,innerclass,2,2,0,2,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,8,0,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$SpillCallable,innerclass,14,15,0,15,14,2,0,20,0,0.16666667,1.0,1.0,3,0,2,0,1,0,3,0,0,0,6,0,0,6,0,0,3,0,0,78,1,2,7,1,0,10,4,23,4,17,5,0,0,0,59,2,3,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$SpillInfo,innerclass,3,3,0,3,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,8,0,529
529,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/529.java,UnorderedPartitionedKVWriter$Anonymous1,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,5,-1,0,529
4066,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4066.java,GitHubUser,class,4,4,0,4,10,1,0,0,31,0.8000001,0.0,0.0,10,0,10,0,0,0,10,0,0,0,7,0,0,7,0,0,5,0,0,43,7,0,0,0,0,1,0,7,0,7,0,0,0,0,21,1,0,4066
14444,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/14444.java,DBUserPrincipal,innerclass,1,2,1,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0,14444
7656,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/7656.java,UserUpdateBean,class,8,10,1,9,14,1,0,14,59,0.80612236,0.17582418,0.72527474,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,63,8,0,0,0,0,7,1,6,0,8,0,0,0,0,29,1,0,7656
10055,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10055.java,ShapeMarshaller,class,2,3,1,2,18,1,0,6,117,0.8333333,0.0,0.0,18,0,18,0,0,0,18,0,0,0,6,0,0,6,0,0,0,0,0,68,12,0,0,0,0,0,0,6,0,6,0,0,0,0,20,1,0,10055
14390,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/14390.java,ShareContent$Builder,innerclass,9,9,0,9,9,1,0,11,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,0,0,0,38,8,0,2,0,1,0,0,6,0,6,1,0,0,0,56,1033,0,14390
14390,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/14390.java,ShareContent,class,10,12,2,10,12,1,0,12,13,0.63636357,0.46666667,0.8,11,0,8,1,2,0,10,0,0,0,6,0,0,6,0,0,6,0,0,97,8,0,1,0,1,0,4,13,0,7,0,0,1,0,97,1025,0,14390
6173,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6173.java,RestConfiguration,class,4,4,0,4,58,1,0,1,1585,0.9682110999999999,0.0,0.0,58,0,58,0,0,0,58,0,0,0,32,4,4,28,0,0,4,0,0,210,28,0,0,0,0,4,0,38,0,32,0,0,2,0,263,1,0,6173
6173,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6173.java,RestHostNameResolver,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6173
6173,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6173.java,RestBindingMode,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6173
11362,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11362.java,EObject,class,12,29,15,14,17,1,1,0,91,0.87500006,0.06666667,0.06666667,15,0,15,0,0,0,15,0,0,0,8,0,0,0,8,0,0,0,0,63,9,0,2,0,0,11,0,8,0,8,1,0,0,0,75,1,0,11362
14236,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/14236.java,Supplier,class,8,27,19,8,18,1,0,0,135,0.8888889000000001,0.05882353,0.05882353,18,0,18,0,0,0,18,0,0,0,9,0,0,9,0,0,0,0,0,65,9,0,0,0,0,20,10,9,0,9,0,0,0,0,36,1,0,14236
8012,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8012.java,Shape,class,5,9,4,5,46,1,0,1,989,0.9565219000000001,0.022222223,0.022222223,46,0,46,0,0,0,46,0,0,0,23,0,0,23,0,0,0,0,0,163,23,0,0,0,0,7,0,24,0,23,0,0,0,0,55,1,0,8012
2648,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/2648.java,ScanOptions,class,8,11,1,10,13,2,0,4,16,0.7638889,0.23809524,0.71428573,8,1,7,1,0,0,7,0,0,0,9,0,4,5,0,0,0,0,1,51,8,0,1,0,0,24,1,6,2,11,1,0,0,0,77,9,0,2648
7851,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/7851.java,MqttDTO,class,12,14,1,13,24,1,0,3,0,0.1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,10,0,10,0,0,0,0,0,0,41,14,0,30,0,9,10,18,12,18,12,1,0,0,0,40,1,0,7851
6352,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/6352.java,RealmTO,class,17,17,0,17,15,1,0,0,83,0.88666666,0.104761906,0.104761906,15,0,15,0,0,0,15,0,0,0,10,1,0,10,0,0,4,0,0,57,9,0,0,0,0,8,1,10,0,10,0,0,0,0,33,1,0,6352
10274,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10274.java,FileSinkOptionsMetadata,class,5,5,0,5,20,1,0,2,112,0.88235295,0.0882353,0.11764706,17,0,17,0,0,0,17,0,0,0,10,2,0,10,0,0,2,0,0,64,9,0,2,0,1,15,0,16,1,10,0,0,1,0,83,1,0,10274
10274,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10274.java,FileSinkOptionsMetadata$Mode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,10274
3605,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/3605.java,DBMsgConstants,class,0,0,0,0,0,1,0,0,0,,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,14,1,0,3605
14997,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/14997.java,FloatFilterFunction,class,4,4,0,4,6,2,0,5,3,0.6388889,0.33333334,1.0,6,0,6,0,0,0,6,0,0,0,6,1,1,4,0,1,5,0,0,31,5,0,0,0,0,0,0,8,0,7,0,0,0,0,22,0,0,14997
8152,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8152.java,AssemblerConfig,class,1,1,0,1,14,1,0,0,69,0.8333333,0.12087912,0.12087912,14,0,14,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,50,7,0,0,0,0,0,2,8,1,6,0,0,0,0,54,1,0,8152
1412,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/1412.java,Customer583Repository,interface,3,3,0,3,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1412
14996,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/14996.java,SetOrderAttributesResponse,class,6,7,1,6,3,1,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,13,2,0,0,0,0,6,0,0,0,2,0,0,0,0,11,1,0,14996
8224,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8224.java,ProviderCreditReversalDetails,class,7,7,0,7,10,1,0,0,29,0.8000001,0.17777778,0.8,10,0,10,0,0,0,10,0,0,0,8,0,0,0,8,0,0,0,0,40,9,0,0,0,0,27,0,0,2,8,0,0,0,0,36,1,0,8224
11150,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11150.java,ShuffleWriteMetrics,class,0,0,0,0,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,1,0,11150
7659,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/7659.java,KerningRecord,class,1,1,0,1,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,15,1,0,7659
10716,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/10716.java,Product,class,1,2,1,1,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,1,0,2,0,2,0,0,0,0,9,1,0,10716
4309,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/4309.java,LaunchRequest,class,0,0,0,0,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,1,0,1,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0,4309
11686,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/11686.java,MultiDexConfig,class,3,3,0,3,15,1,0,1,69,0.81904775,0.0,0.0,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,0,54,7,0,0,0,0,15,5,11,0,7,0,0,0,0,45,1,0,11686
1307,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/1307.java,CountPageable,class,2,2,0,2,9,1,0,8,0,0.11111111,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,30,8,0,0,0,0,0,0,1,0,1,0,0,0,0,16,10,0,1307
8120,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/8120.java,BacklogMetricBean,class,11,11,0,11,10,1,0,0,35,0.8,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,8,0,5,0,5,0,0,0,0,29,1,0,8120
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous6,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous7,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous8,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous9,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous5,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$EnumDevicePlatforms,enum,1,1,0,1,2,1,0,0,0,0.0,,,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,6,0,1,0,1,0,0,0,0,25,9,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting,class,27,28,1,27,262,2,0,34,25332,0.9851247,0.014824178,0.9227764,229,4,228,0,0,1,229,0,0,1,91,1,0,90,1,0,0,0,9,1256,232,6,4,1,0,123,2,385,3,152,7,40,2,0,210,1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous39,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous40,anonymous,2,2,0,2,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous28,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous29,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous30,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous33,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous34,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous31,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous32,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous37,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous38,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous35,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous36,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
5404,critical,/Users/mac/Desktop/Code_Smell_Detection/dataset/data_class/metrics/dataset/5404.java,Targeting$Anonymous19,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5404
